Artikelname;Anbietername;Wirkstoffe;ATC-C. (ADV);ATC 4 Steller;Stoffklasse;;;;;;
RAMIPRIL ;Aliud;Ramipril;C09AA05;C09A;ACE-HEMMER, REIN;;;;;;
RANITIDIN ;Aliud;Ranitidin hydrochlorid;A02BA02;A02B;MITTEL BEI PEPTISCHEM ULKUS UND GASTROESOPHAGEALER REFLUXKRANKHEIT;;;;;;
RASAGILIN ;Aliud;Rasagilin tartrat;N04BD02;N04B;DOPAMINERGE MITTEL;;;;;;
REPAGLINID ;Aliud;Repaglinid;A10BX02;A10B;ANTIDIABETIKA, EXKL. INSULINE;;;;;;
RILUZOL ;Aliud;Riluzol;N07XX02;N07X;ANDERE MITTEL FÜR DAS NERVENSYSTEM;;;;;;
RISEDRONAT ;Aliud;Risedronat natrium;M05BA07;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
RISPERIDON ;Aliud;Risperidon;N05AX08;N05A;ANTIPSYCHOTIKA;;;;;;
RIVASTIGMIN ;Aliud;Rivastigmin;N06DA03;N06D;ANTIDEMENTIVA;;;;;;
RIZATRIPTAN ;Aliud;Rizatriptan benzoat;N02CC04;N02C;MIGRÄNEMITTEL;;;;;;
ROPINIROL ;Aliud;Ropinirol hydrochlorid;N04BC04;N04B;DOPAMINERGE MITTEL;;;;;;
ROXITHROMYCIN ;Aliud;Roxithromycin;J01FA06;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
RUPATADIN ;Aliud;Rupatadin fumarat;R06AX28;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
SALBUTAMOL ;Aliud;Salbutamol hemisulfat;R03AC02;R03A;INHALATIVE SYMPATHOMIMETIKA;;;;;;
SELEGILIN ;Aliud;Selegilin hydrochlorid;N04BD01;N04B;DOPAMINERGE MITTEL;;;;;;
SERTRALIN ;Aliud;Sertralin hydrochlorid;N06AB06;N06A;ANTIDEPRESSIVA;;;;;;
SEVELAMERCARBONAT ;Aliud;Sevelamer carbonat;V03AE02;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
SILDENAFIL ;Aliud;Sildenafil citrat;C02KX06;C02K;ANDERE ANTIHYPERTENSIVA;;;;;;
SIMVASTATIN ;Aliud;Simvastatin;C10AA01;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
SOTALOL ;Aliud;Sotalol hydrochlorid;C07AA07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
SPIRONOLACTON ;Aliud;Spironolacton;C03DA01;C03D;KALIUM SPARENDE MITTEL;;;;;;
SULPIRID ;Aliud;Sulpirid;N05AL01;N05A;ANTIPSYCHOTIKA;;;;;;
SUMATRIPTAN ;Aliud;Sumatriptan succinat;N02CC01;N02C;MIGRÄNEMITTEL;;;;;;
TACROLIMUS ;Aliud;Tacrolimus-1-Wasser;L04AD02;L04A;IMMUNSUPPRESSIVA;;;;;;
TADALAFIL ;Aliud;Tadalafil;C02KX07;C02K;ANDERE ANTIHYPERTENSIVA;;;;;;
TAMOXIFEN ;Aliud;Tamoxifen dihydrogencitrat;L02BA01;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
TAMSULOSIN ;Aliud;Tamsulosin hydrochlorid;G04CA02;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TELMISARTAN ;Aliud;Telmisartan;C09CA07;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
TEMOZO ;Aliud;Temozolomid;L01AX03;L01A;ALKYLIERENDE MITTEL;;;;;;
TENOFOVIRDISOPROXIL ;Aliud;Tenofovir disoproxil succinat;J05AF07;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
TERAZOSIN ;Aliud;Terazosin hydrochlorid-2-Wasser;G04CA03;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TERBINAFIN ;Aliud;Terbinafin hydrochlorid;D01BA02;D01B;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
TERBUTALIN ;Aliud;Terbutalin hemisulfat;R03CC03;R03C;SYMPATHOMIMETIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
TERFENADIN ;Aliud;Terfenadin;R06AX12;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
THEOPHYLLIN ;Aliud;Theophyllin;R03DA04;R03D;ANDERE MITTEL BEI OBSTRUKTIVEN ATEMWEGSERKRANKUNGEN ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
TIAPRID ;Aliud;Tiaprid hydrochlorid;N05AL03;N05A;ANTIPSYCHOTIKA;;;;;;
TICLOPIDIN ;Aliud;Ticlopidin hydrochlorid;B01AC05;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
TOLPERISON ;Aliud;Tolperison hydrochlorid;M03BX04;M03B;MUSKELRELAXANZIEN, ZENTRAL WIRKENDE MITTEL;;;;;;
TOPIRAMAT ;Aliud;Topiramat;N02CX12;N02C;MIGRÄNEMITTEL;;;;;;
TORASEMID ;Aliud;Torasemid;C03CA04;C03C;HIGH-CEILING-DIURETIKA;;;;;;
TRAMADOL ;Aliud;Tramadol hydrochlorid;N02AX02;N02A;OPIOIDE;;;;;;
TRAVOPROST ;Aliud;Travoprost;S01EE04;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
TRIMIPRAMIN ;Aliud;Trimipramin hydrogenmaleat;N06AA06;N06A;ANTIDEPRESSIVA;;;;;;
UDC ;Aliud;Ursodeoxycholsäure;A05AA02;A05A;GALLENTHERAPIE;;;;;;
VALGANCICLOVIR ;Aliud;Valganciclovir hydrochlorid;J05AB14;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
VALSARTAN ;Aliud;Valsartan;C09CA03;C09C;ANGIOTENSIN-II-REZEPTORANTAGONISTEN, REIN;;;;;;
VENLAFAXIN ;Aliud;Venlafaxin hydrochlorid;N06AX16;N06A;ANTIDEPRESSIVA;;;;;;
VERAPAMIL ;Aliud;Verapamil hydrochlorid;C08DA01;C08D;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER HERZWIRKUNG;;;;;;
VORICONAZOL ;Aliud;Voriconazol;J02AC03;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
XIPAMID ;Aliud;Xipamid;C03BA10;C03B;LOW-CEILING-DIURETIKA, EXKL. THIAZIDE;;;;;;
ZIPRASIDON ;Aliud;Ziprasidon hydrochlorid-1-Wasser;N05AE04;N05A;ANTIPSYCHOTIKA;;;;;;
ZOLEDRONSÄURE ;Aliud;Zoledronsäure-1-Wasser;M05BA08;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ZOLMITRIPTAN ;Aliud;Zolmitriptan;N02CC03;N02C;MIGRÄNEMITTEL;;;;;;
ZOLPIDEM ;Aliud;Zolpidem hemitartrat;N05CF02;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
ZONISAMID ;Aliud;Zonisamid;N03AX15;N03A;ANTIEPILEPTIKA;;;;;;
ZOPICLON ;Aliud;Zopiclon;N05CF01;N05C;HYPNOTIKA UND SEDATIVA;;;;;;
ALK ;ALK Abello;Allergen-Extrakt aus Roggenpollen;V01AA02;V01A;ALLERGENE;;;;;;
AVANZ ;ALK Abello;Allergen-Extrakt aus Wiesenlieschgraspollen;V01AA02;V01A;ALLERGENE;;;;;;
GRAZAX ;ALK Abello;Allergen-Extrakt aus Wiesenlieschgraspollen;V01AA02;V01A;ALLERGENE;;;;;;
JEXT ;ALK Abello;Epinephrin hydrogentartrat;C01CA24;C01C;KARDIOSTIMULANZIEN, EXKL. HERZGLYKOSIDE;;;;;;
PANGRAMIN ;ALK Abello;Allergen-Extrakt;V01AA20;V01A;ALLERGENE;;;;;;
RELESS-Bienengift ;ALK Abello;Allergen-Extrakt aus Bienengift;V01AA07;V01A;ALLERGENE;;;;;;
RELESS-Wespengift ;ALK Abello;Allergen-Extrakt aus Wespengift;V01AA07;V01A;ALLERGENE;;;;;;
SLITONE ;ALK Abello;Allergen-Extrakt aus Alternaria alternata;V01AA04;V01A;ALLERGENE;;;;;;
MISYO ;ALKALOID - INT;Methadon hydrochlorid;N07BC02;N07B;MITTEL ZUR BEHANDLUNG VON SUCHTERKRANKUNGEN;;;;;;
CONSTELLA ;Allergan Dubl.;Linaclotid;A06AX04;A06A;MITTEL GEGEN OBSTIPATION;;;;;;
ACULAR ;Allergan Pharm;Ketorolac trometamol;S01BC05;S01B;ANTIPHLOGISTIKA;;;;;;
BOTOX ;Allergan Pharm;Clostridium botulinum (Onabotulinum) Toxin Typ A;M03AX21;M03A;MUSKELRELAXANZIEN, PERIPHER WIRKENDE MITTEL;;;;;;
EFFLUMIDEX ;Allergan Pharm;Fluorometholon;S01BA07;S01B;ANTIPHLOGISTIKA;;;;;;
INFLANEFRAN ;Allergan Pharm;Prednisolon acetat;S01BA04;S01B;ANTIPHLOGISTIKA;;;;;;
LUMIGAN ;Allergan Pharm;Bimatoprost;S01EE03;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
OZURDEX ;Allergan Pharm;Dexamethason;S01BA01;S01B;ANTIPHLOGISTIKA;;;;;;
RELESTAT ;Allergan Pharm;Epinastin hydrochlorid;S01GX10;S01G;DEKONGESTIVA UND ANTIALLERGIKA;;;;;;
VISTABEL ;Allergan Pharm;Clostridium botulinum (Onabotulinum) Toxin Typ A;M03AX21;M03A;MUSKELRELAXANZIEN, PERIPHER WIRKENDE MITTEL;;;;;;
VISTAGAN ;Allergan Pharm;Levobunolol hydrochlorid;S01ED03;S01E;GLAUKOMMITTEL UND MIOTIKA;;;;;;
ACAROID ;Allergopharma;Allergen-Extrakt aus Milben;V01AA03;V01A;ALLERGENE;;;;;;
ALLERGOVIT ;Allergopharma;Allergen-Extrakt aus Roggenpollen;V01AA02;V01A;ALLERGENE;;;;;;
NOVO-HELISEN ;Allergopharma;Allergen-Extrakt aus Dermatophagoides farinae;V01AA03;V01A;ALLERGENE;;;;;;
FLAMMAZINE ;Alliance Pharma;Sulfadiazin silber;D06BA01;D06B;CHEMOTHERAPEUTIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
IRENAT ;Alliance Pharma;Natriumperchlorat-1-Wasser;H03BC02;H03B;THYREOSTATIKA;;;;;;
AKNEMYCIN ;Almirall Hermal;Erythromycin;D10AF02;D10A;AKNEMITTEL ZUR TOPISCHEN ANWENDUNG;;;;;;
AKNENORMIN ;Almirall Hermal;Isotretinoin;D10BA01;D10B;AKNEMITTEL ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
AKNOSAN ;Almirall Hermal;Minocyclin hydrochlorid;J01AA08;J01A;TETRACYCLINE;;;;;;
ALMIRID ;Almirall Hermal;α-Dihydroergocryptin mesilat;N04BC03;N04B;DOPAMINERGE MITTEL;;;;;;
ALMOGRAN ;Almirall Hermal;Almotriptan malat;N02CC05;N02C;MIGRÄNEMITTEL;;;;;;
AMCIDERM ;Almirall Hermal;Amcinonid;D07AC11;D07A;CORTICOSTEROIDE, REIN;;;;;;
BEOFENAC ;Almirall Hermal;Aceclofenac;M01AB16;M01A;NICHTSTEROIDALE ANTIPHLOGISTIKA UND ANTIRHEUMATIKA;;;;;;
CICLOPOLI ;Almirall Hermal;Ciclopirox olamin;D01AE14;D01A;ANTIMYKOTIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
CICLOTAU ;Almirall Hermal;Ciclopirox olamin;G01AX12;G01A;ANTIINFEKTIVA UND ANTISEPTIKA, EXKL. KOMBINATIONEN MIT CORTICOSTEROIDEN;;;;;;
CURATODERM ;Almirall Hermal;Tacalcitol-1-Wasser;D05AX04;D05A;ANTIPSORIATIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
DECODERM ;Almirall Hermal;Flupredniden 21-acetat;D07AB07;D07A;CORTICOSTEROIDE, REIN;;;;;;
EBASTEL ;Almirall Hermal;Ebastin;R06AX22;R06A;ANTIHISTAMINIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
FLEXI ;Almirall Hermal;Kupferdraht;G02BA02;G02B;KONTRAZEPTIVA ZUR LOKALEN ANWENDUNG;;;;;;
INIMUR ;Almirall Hermal;Ciclopirox olamin;G01AX12;G01A;ANTIINFEKTIVA UND ANTISEPTIKA, EXKL. KOMBINATIONEN MIT CORTICOSTEROIDEN;;;;;;
LATICORT ;Almirall Hermal;Hydrocortison 17-butyrat;D07AB02;D07A;CORTICOSTEROIDE, REIN;;;;;;
LYGAL ;Almirall Hermal;Prednisolon;D07AA03;D07A;CORTICOSTEROIDE, REIN;;;;;;
MONOVO ;Almirall Hermal;Mometason furoat;D07AC13;D07A;CORTICOSTEROIDE, REIN;;;;;;
MYCONORMIN ;Almirall Hermal;Terbinafin hydrochlorid;D01BA02;D01B;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
REFOBACIN ;Almirall Hermal;Gentamicin sulfat;D06AX07;D06A;ANTIBIOTIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
SKILARENCE ;Almirall Hermal;Dimethyl fumarat;D05BX01;D05B;ANTIPSORIATIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
SOLARAZE ;Almirall Hermal;Diclofenac natrium;D11AX18;D11A;ANDERE DERMATIKA;;;;;;
VANIQA ;Almirall Hermal;Eflornithin hydrochlorid-1-Wasser;D11AX16;D11A;ANDERE DERMATIKA;;;;;;
ADENOSIN ;Altamedics;Adenosin;C01EB10;C01E;ANDERE HERZMITTEL;;;;;;
CLARITHROMYCIN ;Altamedics;Clarithromycin lactobionat;J01FA09;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
FLUCLOXACILLIN ;Altamedics;Flucloxacillin natrium-1-Wasser;J01CF05;J01C;BETALACTAM-ANTIBIOTIKA, PENICILLINE;;;;;;
APRICAL ;Amdipharm;Nifedipin;C08CA05;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
ERYTHROCIN ;Amdipharm;Erythromycin lactobionat;J01FA01;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
HEITRIN ;Amdipharm;Terazosin hydrochlorid-2-Wasser;C02CA08;C02C;ANTIADRENERGE MITTEL, PERIPHER WIRKEND;;;;;;
PAEDIATHROCIN ;Amdipharm;Erythromycin ethylsuccinat;J01FA01;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
RENTIBLOC ;Amdipharm;Sotalol hydrochlorid;C07AA07;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
RENTYLIN ;Amdipharm;Pentoxifyllin;C04AD03;C04A;PERIPHERE VASODILATATOREN;;;;;;
ARANESP ;Amgen;Darbepoetin alfa;B03XA02;B03X;ANDERE ANTIANÄMIKA;;;;;;
BLINCYTO ;Amgen;Blinatumomab;L01XC19;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
IMLYGIC ;Amgen;Talimogen laherparepvec;L01XX51;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
KYPROLIS ;Amgen;Carfilzomib;L01XX45;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
MIMPARA ;Amgen;Cinacalcet hydrochlorid;H05BX01;H05B;NEBENSCHILDDRÜSENHORMONANTAGONISTEN;;;;;;
NEULASTA ;Amgen;Pegfilgrastim;L03AA13;L03A;IMMUNSTIMULANZIEN;;;;;;
NEUPOGEN ;Amgen;Filgrastim;L03AA02;L03A;IMMUNSTIMULANZIEN;;;;;;
NPLATE ;Amgen;Romiplostim;B02BX04;B02B;VITAMIN K UND ANDERE HÄMOSTATIKA;;;;;;
PARSABIV ;Amgen;Etelcalcetid hydrochlorid;H05BX;H05B;NEBENSCHILDDRÜSENHORMONANTAGONISTEN;;;;;;
PROLIA ;Amgen;Denosumab;M05BX04;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
REPATHA ;Amgen;Evolocumab;C10AX13;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
VECTIBIX ;Amgen;Panitumumab;L01XC08;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
XGEVA ;Amgen;Denosumab;M05BX04;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
GALAFOLD ;AMICUS;Migalastat hydrochlorid;A16AX14;A16A;ANDERE MITTEL FÜR DAS ALIMENTÄRE SYSTEM UND DEN STOFFWECHSEL;;;;;;
ARIPIPRAZOL ;Amneal;Aripiprazol;N05AX12;N05A;ANTIPSYCHOTIKA;;;;;;
ATOSIBAN ;Amneal;Atosiban acetat;G02CX01;G02C;ANDERE GYNÄKOLOGIKA;;;;;;
CALCIUMFOLINAT ;Amneal;Calcium folinat;V03AF03;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
CASPOFUNGIN ;Amneal;Caspofungin diacetat;J02AX04;J02A;ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG;;;;;;
CLOPIDOGREL ;Amneal;Clopidogrel sulfat;B01AC04;B01A;ANTITHROMBOTISCHE MITTEL;;;;;;
DOCETAXEL ;Amneal;Docetaxel;L01CD02;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
EPIRUBICIN ;Amneal;Epirubicin hydrochlorid;L01DB03;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
FLUOROURACIL ;Amneal;Fluorouracil;L01BC02;L01B;ANTIMETABOLITEN;;;;;;
IMATINIB ;Amneal;Imatinib mesilat;L01XE01;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
IRINOTECAN ;Amneal;Irinotecan hydrochlorid-3-Wasser;L01XX19;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
LEVETIRACETAM ;Amneal;Levetiracetam;N03AX14;N03A;ANTIEPILEPTIKA;;;;;;
LINEZOLID ;Amneal;Linezolid;J01XX08;J01X;ANDERE ANTIBIOTIKA;;;;;;
METOPROLOLSUCCINAT ;Amneal;Metoprolol succinat;C07AB02;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
PACLITAXEL ;Amneal;Paclitaxel;L01CD01;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
PARACETAMOL ;Amneal;Paracetamol;N02BE01;N02B;ANDERE ANALGETIKA UND ANTIPYRETIKA;;;;;;
TERLIPRESSINACETAT ;Amneal;Terlipressin diacetat-5-Wasser;H01BA04;H01B;HYPOPHYSENHINTERLAPPENHORMONE;;;;;;
ADEPEND ;Amomed Pharma;Naltrexon hydrochlorid;N07BB04;N07B;MITTEL ZUR BEHANDLUNG VON SUCHTERKRANKUNGEN;;;;;;
EMPRESSIN ;Amomed Pharma;Argipressin;H01BA06;H01B;HYPOPHYSENHINTERLAPPENHORMONE;;;;;;
ESMOCARD ;Amomed Pharma;Esmolol hydrochlorid;C07AB09;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
NALPAIN ;Amomed Pharma;Nalbuphin hydrochlorid;N02AF02;N02A;OPIOIDE;;;;;;
NALTREXON ;Amomed Pharma;Naltrexon hydrochlorid;N07BB04;N07B;MITTEL ZUR BEHANDLUNG VON SUCHTERKRANKUNGEN;;;;;;
PONVERIDOL ;Amomed Pharma;Droperidol;N05AD08;N05A;ANTIPSYCHOTIKA;;;;;;
RAPIBLOC ;Amomed Pharma;Landiolol hydrochlorid;C07AB;C07A;BETA-ADRENOZEPTORANTAGONISTEN;;;;;;
TANTUM ;Angelini Pharma;Benzydamin hydrochlorid;G02CC03;G02C;ANDERE GYNÄKOLOGIKA;;;;;;
ACARA ;anwerina;Risedronat natrium;M05BA07;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ASCENDRA ;anwerina;Ibandronsäure natrium-1-Wasser;M05BA06;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ASZORA ;anwerina;Zoledronsäure-1-Wasser;M05BA08;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
CANEMES ;AOP Orphan Ph.;Nabilon;A04AD11;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
DYSTARDIS ;AOP Orphan Ph.;Tetrabenazin;N07XX06;N07X;ANDERE MITTEL FÜR DAS NERVENSYSTEM;;;;;;
ARIFIL ;Apo-Care;Sildenafil citrat;G04BE03;G04B;UROLOGIKA;;;;;;
ARITAXEL ;Apo-Care;Paclitaxel;L01CD01;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
AXIFOLIN ;Apo-Care;Calcium folinat;V03AF03;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
AXIPLATIN ;Apo-Care;Oxaliplatin;L01XA03;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
AXISETRON ;Apo-Care;Ondansetron hydrochlorid-2-Wasser;A04AA01;A04A;ANTIEMETIKA UND MITTEL GEGEN ÜBELKEIT;;;;;;
CALCIUMFOLINAT ;Apo-Care;Calcium folinat;V03AF03;V03A;ALLE ÜBRIGEN THERAPEUTISCHEN MITTEL;;;;;;
GEMCITABIN ;Apo-Care;Gemcitabin hydrochlorid;L01BC05;L01B;ANTIMETABOLITEN;;;;;;
IRINOTECAN ;Apo-Care;Irinotecan hydrochlorid-3-Wasser;L01XX19;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
ALFUNAR ;Apogepha;Alfuzosin hydrochlorid;G04CA01;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
ANDROCAL ;Apogepha;Bicalutamid;L02BB03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
FOSFURO ;Apogepha;Fosfomycin trometamol;J01XX01;J01X;ANDERE ANTIBIOTIKA;;;;;;
LITHIUM ;Apogepha;Lithiumcarbonat;N05AN01;N05A;ANTIPSYCHOTIKA;;;;;;
MICTONETTEN ;Apogepha;Propiverin hydrochlorid;G04BD06;G04B;UROLOGIKA;;;;;;
MICTONORM ;Apogepha;Propiverin hydrochlorid;G04BD06;G04B;UROLOGIKA;;;;;;
NIFURANTIN ;Apogepha;Nitrofurantoin;J01XE01;J01X;ANDERE ANTIBIOTIKA;;;;;;
NIFURETTEN ;Apogepha;Nitrofurantoin-1-Wasser;J01XE01;J01X;ANDERE ANTIBIOTIKA;;;;;;
NITRENDIPIN ;Apogepha;Nitrendipin;C08CA08;C08C;SELEKTIVE CALCIUMKANALBLOCKER MIT VORWIEGENDER GEFÄSSWIRKUNG;;;;;;
NOCUTIL ;Apogepha;Desmopressin-x-acetat-y-Wasser;H01BA02;H01B;HYPOPHYSENHINTERLAPPENHORMONE;;;;;;
PIVMELAM ;Apogepha;Pivmecillinam hydrochlorid;J01CA08;J01C;BETALACTAM-ANTIBIOTIKA, PENICILLINE;;;;;;
PROSMIN ;Apogepha;Finasterid;G04CB01;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TAMSUNAR ;Apogepha;Tamsulosin hydrochlorid;G04CA02;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
TERANAR ;Apogepha;Terazosin hydrochlorid-2-Wasser;G04CA03;G04C;MITTEL BEI BENIGNER PROSTATAHYPERPLASIE;;;;;;
UROCIN ;Apogepha;Mitomycin;L01DC03;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
AZATHIOPRIN ;AqVida;Azathioprin;L04AX01;L04A;IMMUNSUPPRESSIVA;;;;;;
DOCETAXEL ;AqVida;Docetaxel;L01CD02;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
EPIRUBICIN ;AqVida;Epirubicin hydrochlorid;L01DB03;L01D;ZYTOTOXISCHE ANTIBIOTIKA UND VERWANDTE SUBSTANZEN;;;;;;
GEMCITABIN ;AqVida;Gemcitabin hydrochlorid;L01BC05;L01B;ANTIMETABOLITEN;;;;;;
IMATINIB ;AqVida;Imatinib mesilat;L01XE01;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
IRINOTECAN ;AqVida;Irinotecan hydrochlorid-3-Wasser;L01XX19;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
OXALIPLATIN ;AqVida;Oxaliplatin;L01XA03;L01X;ANDERE ANTINEOPLASTISCHE MITTEL;;;;;;
PACLITAXEL ;AqVida;Paclitaxel;L01CD01;L01C;PFLANZLICHE ALKALOIDE UND ANDERE NATÜRLICHE MITTEL;;;;;;
ACICLOVIR ;Aristo Pharma;Aciclovir;J05AB01;J05A;DIREKT WIRKENDE ANTIVIRALE MITTEL;;;;;;
ALENDRON ;Aristo Pharma;Alendronsäure natrium-3-Wasser;M05BA04;M05B;MITTEL MIT EINFLUSS AUF DIE KNOCHENSTRUKTUR UND DIE MINERALISATION;;;;;;
ALFACALCIDOL ;Aristo Pharma;Alfacalcidol;A11CC03;A11C;VITAMIN A UND D, INKL. DEREN KOMBINATIONEN;;;;;;
AMOXICILLIN ;Aristo Pharma;Amoxicillin-3-Wasser;J01CA04;J01C;BETALACTAM-ANTIBIOTIKA, PENICILLINE;;;;;;
ANASTROZOL ;Aristo Pharma;Anastrozol;L02BG03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
AQUACORT ;Aristo Pharma;Budesonid;R01AD05;R01A;DEKONGESTIVA UND ANDERE RHINOLOGIKA ZUR TOPISCHEN ANWENDUNG;;;;;;
ATORVASTATIN ;Aristo Pharma;Atorvastatin hemicalcium;C10AA05;C10A;MITTEL, DIE DEN LIPIDSTOFFWECHSEL BEEINFLUSSEN, REIN;;;;;;
AZITHROMYCIN ;Aristo Pharma;Azithromycin-1-Wasser;J01FA10;J01F;MAKROLIDE, LINCOSAMIDE UND STREPTOGRAMINE;;;;;;
BICALUTAMID ;Aristo Pharma;Bicalutamid;L02BB03;L02B;HORMONANTAGONISTEN UND VERWANDTE MITTEL;;;;;;
BUPRENORPHIN ;Aristo Pharma;Buprenorphin;N02AE01;N02A;OPIOIDE;;;;;;
CARBAMAZEPIN ;Aristo Pharma;Carbamazepin;N03AF01;N03A;ANTIEPILEPTIKA;;;;;;
CARBIMAZOL ;Aristo Pharma;Carbimazol;H03BB01;H03B;THYREOSTATIKA;;;;;;
CEFACLOR ;Aristo Pharma;Cefaclor-1-Wasser;J01DC04;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
CEFURAX ;Aristo Pharma;Cefuroxim axetil;J01DC02;J01D;ANDERE BETA-LACTAM-ANTIBIOTIKA;;;;;;
CIPROFLOXACIN ;Aristo Pharma;Ciprofloxacin hydrochlorid-1-Wasser;J01MA02;J01M;CHINOLONE;;;;;;
CITALOPRAM ;Aristo Pharma;Citalopram hydrobromid;N06AB04;N06A;ANTIDEPRESSIVA;;;;;;
